Year,Country,HDI,Life_expectancy,Literacy_rate,,Fossil_fuel_energy_consumption,Renewable_energy_consumption,Employment_rate
1990,India,0.434,58.652,10.79836219,,53.76395973,52.95,
1991,India,0.437,59.055,10.92335735,,55.0634924,52,
1992,India,0.442,59.452,11.04841085,,56.07028245,51.46,
1993,India,0.446,59.815,11.17352285,,56.95683361,51.49,
1994,India,0.452,60.216,11.29869349,,58.01455003,50.49,
1995,India,0.458,60.596,11.42392295,,59.98794193,49.54,
1996,India,0.465,60.984,11.6032829,,60.8251558,49.13,
1997,India,0.471,61.388,11.8065629,,61.77329025,47.89,
1998,India,0.477,61.792,11.99765622,,62.01581767,47.95,
1999,India,0.485,62.207,12.18874954,,63.46040016,47.11,
2000,India,0.49,62.669,12.37984286,,63.72739451,46.88,
2001,India,0.495,63.091,12.46357004,,63.64796634,47.11,
2002,India,0.501,63.616,12.71587727,,64.32920579,45.75,
2003,India,0.514,64.094,13.36897472,,64.51923944,45.63,
2004,India,0.523,64.524,13.69471178,,65.58374371,44.92,
2005,India,0.532,64.996,14.02044884,,65.98980361,44.16,
2006,India,0.541,65.412,14.37625699,,66.80567371,43.16,
2007,India,0.55,65.788,14.73206514,,67.88343297,41.54,
2008,India,0.557,66.149,15.12386329,,69.00512159,39.38,
2009,India,0.562,66.513,15.16009161,,71.14349792,37.41,
2010,India,0.572,66.909,15.57926974,,71.40469516,36.16,
2011,India,0.586,67.359,16.37233019,,71.4717185,35.01,
2012,India,0.594,67.887,16.71478548,,72.41907946,34.75,53.42
2013,India,0.6,68.46,16.8590415,,72.28545864,34.86,52.446
2014,India,0.611,69.074,17.30166788,,73.57697909,33.85,51.469
2015,India,0.619,69.636,17.50473413,,..,33.4,50.492
2016,India,0.63,70.117,18.01330042,,..,33.01,49.514
2017,India,0.636,70.467,18.08516479,,..,32.57,48.536
2018,India,0.636,70.71,17.64531994,,..,32.73,36.9
2019,India,0.638,70.91,17.63297034,,..,33.27,37.5
2020,India,0.638,70.15,18.21935034,,..,35.82,40.1
2021,India,0.633,67.24,18.54250049,,..,..,41.6
